Name,Author,Price,About
"Кондратович Мария Аркадьевна: Говори, я хочу еще! Как убеждать и достигать своих целей",Переговоры. Убеждение. Влияние,600 ₽,"«Говори, я хочу еще! Как убеждать и достигать своих целей» – книга, которая поможет вам самовыразиться, покорить людей красноречием, обаянием и смыслами. Вы измените отношение к собственной речи и речи окружающих, что сделает вас увереннее, а значит – успешнее."
"Скотт Ким: Радикальная прямота. Как управлять людьми, не теряя человечности. 2-е издание",Ким Скотт,538 ₽,"КИМ СКОТТ — бывший топ-менеджер Google, Apple, YouTube, бизнес-консультант Dropbox, Twitter — завоевала известность благодаря собственному подходу к менеджменту. Она назвала его «Радикальная прямота»."
Алексей Марков: Хуликбез&FAQ. Еще больше умных ответов на дурацкие вопросы,Алексей Марков,581 ₽,"Если вы прогуливали уроки экономики в школе, и теперь у вас накопилось много вопросов, то эта книга – для вас!"
Гандапас Радислав: Камасутра для оратора. NEON Pocketbooks,Радислав Гандапас,390 ₽,"Книга известного российского бизнес-тренера Радислава Гандапаса, которая научит вас не просто перестать бояться публичных выступлений, но и получать от них настоящее удовольствие."
"Бумбуриди Полихрон Константинович, Петров Илья Вячеславович: Уволить нельзя мотивировать. 10 принципов экологичного менеджмента для получения выдающихся результатов от сотрудников",Психология. Искусство лидера,869 ₽,"Эта книга — незаменимое пособие для начинающих и опытных управленцев, которое поможет настроить коммуникации с сотрудниками:"
"Хорват А.: Дайте жалобную книгу! Как заработать больше, используя обратную связь от клиентов",Работа с клиентами,828 ₽,"Работа с обратной связью — бесплатный инструмент, который способен влиять на прибыль бизнеса. Урегулирование претензий помогает сохранить уже существующую базу клиентов, в то время как положительные отзывы и рекомендации привлекают новых потребителей. Значимую роль обратная связь играет и в формировании внутренней культуры компании, заинтересованной в развитии и росте сотрудников."
Гребер Д.: Долг: первые 5000 лет истории,Финансовый анализ,1 569 ₽,"Эта книга — масштабное и революционное исследование истории товарно-денежных отношений с древнейших времен до наших дней, предпринятое американским антропологом, профессором Лондонской школы экономики и активистом, одним из «антилидеров» движения Occupy Wall Street, Дэвидом Гребером (1961–2020). Гребер, опираясь на антропологические методы, выдвигает тезис, что в основе того, что мы традиционно называем экономикой, лежит категория долга, которая на разных этапах развития общества может принимать формы денег, бартера, залогов, кредитов, акций и так далее. Один из императивов книги — вырвать экономику из лап «профессиональных экономистов», доказавших свою несостоятельность во время последнего мирового кризиса, и поместить ее в более широкий контекст истории культуры, политологии, социологии и прочих гуманитарных дисциплин. Для широкого круга читателей."
"Диксит Авинаш, Нейлбафф Барри: Теория игр. Искусство стратегического мышления в бизнесе и жизни",Авинаш Диксит,1 334 ₽,"Теория игр — это строгое стратегическое мышление. Это искусство предугадывать следующий ход соперника с учетом того, что он занимается тем же самым. Её изучение может сформировать совсем новый взгляд на устройство мира и на то, как люди взаимодействуют."
"Паули Виктор Карлович, Чарышева Софья Рашидовна: Поведите себя вперед. 25 верных способов перестать быть посредственным руководителем и обеспечить себе профессиональную карьеру",Виктор Паули,1 256 ₽,"Эта книга, написанная настоящими профессионалами в управлении, промышленности, энергетике и психологии, поможет вам построить личную карьеру и повысить эффективность подразделения, которым вы руководите, а значит и компании в целом. Она научит вас:"
Рекхэм Нил: СПИН-продажи,Нил Рекхэм,1 006 ₽,"""СПИН-продажи"" — книга №1 в мире о больших продажах. Выводы книги основаны на проведенном масштабном исследовании"
Хенссон Дэвид Хайнемайер: Rework. Бизнес без предрассудков,Best Business Practices,1 059 ₽,"О том, как начать свой бизнес. Если хотите – параллельно с основной работой. И о том, как усовершенствовать ваш имеющийся бизнес, а точнее – ваши взгляды на него. С тем, чтобы обрести невиданную ранее степень свободы."
Джефф Сазерленд: Scrum. Революционный метод управления проектами,Джефф Сазерленд,1 006 ₽,"Книга основателя методики Scrum, которая поможет вам реализовывать проекты в несколько раз быстрее и эффективнее."
Мачиариелло Джозеф: Год с Питером Друкером: 52 недели тренировки эффективного руководителя,Джозеф Мачиариелло,1 638 ₽,О чем эта книга
Хилл Наполеон: Думай и Богатей!,Наполеон Хилл,339 ₽,"Пожалуй, самая значимая и авторитетная книга в мире — руководство по обретению успеха, богатства, жизненной энергии преодоления и целеустремленности. На протяжении 70 лет ""ДУМАЙ И БОГАТЕЙ!"" считается классическим учебником по созданию богатства. В каждой главе Наполеон Хилл раскрывает секреты добывания денег, пользуясь которыми тысячи людей приобрели, приумножили и продолжают приумножать свое состояние, одновременно развивая и обогащая свой личностный потенциал. Перед вами новое класическое издание грандиозной работы Наполеона Хилла, дополненное и переработанное с учетом современных реалий. Для самого широкого круга читателей."
"Экер Харв Т. Т.: Думай как миллионер. 17 уроков состоятельности для тех, кто готов разбогатеть",Харв Т. Экер,1 256 ₽,ПОЧЕМУ МЫ РЕШИЛИ ИЗДАТЬ ЭТУ КНИГУ
Батырев Максим : 45 татуировок менеджера. Правила российского руководителя,Батырев Максим,1 104 ₽,"Свод принципов и правил, проверенных многолетней практикой успешного менеджера, его житейский и организаторский опыт.  Это простые и яркие истории о том, как и почему надо вести дела, если хочешь добиться успеха."
Брег Стивен: Настольная книга финансового директора,Брег Стивен,1 428 ₽,"Это издание является не только превосходным учебником, но и полным справочником для финансовых директоров практически по всем аспектам их повседневной работы. В нем представлены финансовые стратегии, системы оценки и контроля, инструменты финансового анализа, источники финансирования, методы управления рисками и другие важные вопросы."
"Джирард Дж., Браун С.: Как продать что угодно кому угодно",Деловой бестселлер,398 ₽,"Мировой бестселлер! Продано свыше 1 500 000 экз. Уникальные техники продаж от человека, который вошел в Книгу рекордов Гиннесса как величайший продавец в мире. Менеджерам по продажам, торговым представителям, консультантам, продавцам магазинов."
Кокинз Гэри: Управление результативностью: Как преодолеть разрыв между объявленной стратегией и реальными процессами,Кокинз Гэри,768 ₽,"Управление результативностью — это процесс управления стратегией организации при помощи полностью интегрированной системы методологий улучшения бизнеса. Управление результативностью включает методологии, измерение, процессы, программные средства и системы управления деятельностью организации. Признанный эксперт современных систем управления стоимостью и повышения результативности Гэри Кокинз в своей книге пока­зывает, как корпорации могут использовать инструменты управления результативностью, и существующие издавна, и созданные в последние годы. Сбалансированная система показателей, концепция ""шесть сигм"" и процессно-ориентированное управление позволяют собирать данные, преобразовывать и трансформировать их в информацию, полезную при принятии решений."
"Кампрад И., Торекуль Б.: Есть идея! История ИКЕА",Модели менеджмента ведущих корпораций,828 ₽,"Вряд ли можно найти человека, у которого дома нет товара из магазинов ИКЕА. Еще сложнее представить руководителя, который не интересовался бы уникальной бизнес-моделью ИКЕА, ведь ей удалось добиться сочетания доступных цен, отличного функционального дизайна и продуманного до мелочей устройства магазинов."
Иванова С.: Искусство подбора персонала: Как оценить человека за час,Менеджмент,828 ₽,"Перед вами новое издание бестселлера Светланы Ивановой — гуру в области оценки и подбора персонала. Книга не только дает представление о самых эффективных на сегодняшний день методах оценки и подбора персонала, но и предлагает готовый инструментарий с детальным изложением методик, многочисленными примерами и практическими заданиями."
Филиппов С.: Sales-детонатор: Как добиться взрывного роста продаж,Продажи,340 ₽,"О чем книга ""Sales-детонатор: Как добиться взрывного роста продаж"""
Шалунова М. (ред.): Управление бизнесом,Harvard Business Review: 10 лучших статей,828 ₽,"Harvard Business Review — главный деловой журнал в мире. Если вы не читали других книг из серии ""HBR: 10 лучших статей"", то прочтите эту, в определенном смысле саму важную. Для нее из сотен статей журнала редакторы HBR отобрали те, в которых влиятельные бизнес-эксперты рассказывают о том, как следует внедрять инновации в управление бизнесом, о роли руководителя во времена болезненных перемен; какие данные помогут распознать потребности клиента и улучшить свой продукт; какие вопросы должен себе задавать каждый хороший руководитель и что ему следует делать, чтобы подчиненные были эффективны и мотивированы на достижение лучших результатов. В книге вы найдете предельно конкретные и практические ответы на эти и другие важные для бизнесмена вопросы."
Иванова С.: Как найти своих людей: Искусство подбора и оценки персонала для руководителя,Управление персоналом,588 ₽,"О чем книга ""Как найти своих людей: Искусство подбора и оценки персонала для руководителя"""
Филип Котлер: Латеральный маркетинг: Технология поиска революционных идей,Филип Котлер,636 ₽,"О чем книга ""Латеральный маркетинг: Технология поиска революционных идей"""
Пинк Д.: Драйв: Что на самом деле нас мотивирует,Пинк Д.,828 ₽,"О чем книга ""Драйв: Что на самом деле нас мотивирует"""
"Шиффман С.: Техники холодных звонков: То, что реально работает (супер.)",Продажи,624 ₽,"О чем книга ""Техники холодных звонков: То, что реально работает"""
Уолтон С.: Как я создал Wal-Mart,Истории успеха,828 ₽,"О сети магазинов Wal-Mart и ее создателе, о вдохновении, смелости, оптимизме и тяжелом труде, позволившим компании ""оседлать"" мечту и стать лидером мирового бизнеса. Чрезвычайно скромный, но всегда уверенный в своих силах и возможностях, Сэм Уолтон делится своими наблюдениями, честно и открыто рассказывает о ""правилах дорожного движения"" в крупном бизнесе."
"Джонстон Марк, Маршалл Грэг: Управление отделом продаж: исчерпывающее руководство",Марк Джонстон,625 ₽,"В новом, самом актуальном издании классического учебника ""Управление отделом продаж"" Марк Джонстон и Грег Маршалл продолжают традиции мастерства, заложенные Черчиллем, Фордом и Уокером, укрепляя позиции издания как ведущего международного пособия в своей области. Это современная классика, полностью адаптированная к современной практике управления продажами."
Хелдер К.: Продажи вопреки всему! (комплект),Хелдер К.,600 ₽,{}
Трамп Дональд: Дональд Трамп. Искусство сделки,Дональд Трамп,869 ₽,"Дональд Трамп - американский политик, бизнесмен. В прошлом - шоумен и телеведущий. Человек года по версии журнала «Time» (2016). «Искусство сделки» - гид по разумному подходу к личным финансам. Трамп, имея за плечами огромный предпринимательский опыт, рассказывает о своем видении правильного бизнеса, вспоминает яркие сделки и делится проверенными временем рекомендациями для успеха.  Вы узнаете секреты успешных сделок из первых уст!"
"Найт Фил: Продавец обуви. История компании Nike, рассказанная ее основателем",Фил Найт,556 ₽,"Nike — один из самых узнаваемых мировых брендов. Создатель компании Фил Найт — один из богатейших людей, хотя еще в юности он не мог себе позволить купить кроссовки Adidas. 50 лет назад студент Орегонского университета и бегун на средние дистанции Фил Найт занял у отца 50 баксов и начал перепродавать кроссовки из Японии. Сегодня годовой оборот компании Nike составляет 30 миллиардов долларов. А пара найков найдется в шкафу у каждого — от президента до подростка. Фил Найт — человек-загадка, он редко дает интервью. Эта книга — исповедь о создании компании, которой удалось подарить мечту миллионам людей."
Андерсон Карл: Аналитическая культура. От сбора данных до бизнес-результатов,Серия O'Reilly,1 420 ₽,Подробное пошаговое руководство по внедрению Data-driven-культуры в вашей компании — от сбора данных и наглядных отчетов до анализа и обоснованных решений.
Плосков Петр Андреевич: Сила Instagram. Простой путь к миллиону подписчиков,Петр Плосков,200 ₽,"Петр Плосков — продюсер, директор артистов и блогеров: Натальи Рудовой, Марии Миногаровой, Иды Галич, Александра Хоменко, Натали Ящук, Ольги Медынич, Карины Нигай, Андрея Глазунова, Ники Вайпер, Артема Хохоликова, Анны Семенович, Дмитрия Маликова и других звезд. В книге автор предлагает читателям различные идеи для наполнения и продвижения своего профайла. Рассматривая распространенные ошибки новичков, Петр объясняет, как их избежать и выжать максимум из аккаунта в Instagram."
Аветисян Самвел Альбертович: Между клизмой и харизмой,Самвел Аветисян,800 ₽,"Самвел Аветисян - первопроходимец российского маркетинга, известный благодаря участию в запуске и провокационному продвижению кампаний «Тинькофф», «Дарья» и «Техношок». В искрометной и ироничной попытке автобиографии Самвел рассказывает историю рождения российского бизнеса. Один из главных героев истории - типичный российский бизнесмен начала 90-х. Напористый и дерзкий предприниматель Ярдов нанимает бывшего сотрудника публичной библиотеки на должность маркетолога, полагая, что «армяне те же евреи, но подешевле». Работая на бизнесмена, автор повествования занимается созданием и продвижением брендов пива «Ярдофф», пельменей «Варвара» и «Царь-батюшка». В циничной манере Самвел дает характеристику целой эпохе. Маркетингу, который стремился залезть в сердце и печень потребителей. Рекламным кампаниям, которые должны быть настолько WOW, чтобы с думских трибун о них кричали не иначе как о «национальном позоре»."
Белфорт Дж.: Метод волка с Уолл-стрит: Откровения лучшего продавца в мире,Альпина. Бизнес,948 ₽,"Лучший продавец в мире Джордан Белфорт раскрывает свою стратегию и дает пошаговую инструкцию по освоению той самой системы, которая позволила заработать состояние ему самому и его клиентам."
"Фрэнк Малкольм, Рериг Пол, Принг Бен: Что делать, когда машины начнут делать все. Как роботы и искусственный интеллект изменят жизнь и работу",Малкольм Фрэнк,950 ₽,"Авторы, лидеры мнений в технологической отрасли, раскрывают примерный сценарий нашего будущего."
"Кеннеди Д., Уэлш-Филлипс К.: Жесткий SMM: Выжать из соцсетей максимум (обложка)",Интернет-маркетинг,708 ₽,"Чем отличается качественный SMM от того, чем занимаются 99 % компаний? Главным образом тем, что здесь нет места бахвальству размером своей компании, ориентации на количество лайков и прочие ""тщеславные"" метрики. Дэн Кеннеди, предприниматель-мультимиллионер, автор бестселлера ""Жесткий менеджмент"" и Ким Уэлш-Филлипс (владелица крупного SMM-агентства), говорят о том, что качественный SMM — это всегда про деньги. Необходимо, наконец, научиться зарабатывать реальные деньги с помощью социальных сетей. Из книги вы узнаете, как переключить ваш SMM с заурядного производства лайков в режим активного инструмента конверсии; как перестать топить соцсети деньгами и при этом расширить аудиторию вашей компании; как создать идеальный магнит для лидов и превратить холодный трафик в реальных клиентов; и, самое главное, как адекватно собирать и анализировать результаты вашей маркетинговой активности. Это необходимое чтение для всех владельцев и менеджеров компаний, кто хочет получать реальную отдачу от работы в соцсетях"
МакКорд Патти: Сильнейшие. Бизнес по правилам Netflix,Патти МакКорд,950 ₽,"Мощные практические инструменты от Netflix. С их помощью можно построить высокоэффективную команду, которой не будет равных на рынке. МакКорд прописала принципы радикальной честности на работе, которые помогут отсеять неэффективных сотрудников и мотивировать лучших."
Туск Брэдли: Спаситель Кремниевой долины. Как я защищал стартапы от бюрократов,Туск Брэдли,103 ₽,"﻿Автора этой книги называют не только Спасителем Кремниевой долины, но и политическим гением Убера. К нему обращались Майкл Блумберг, Илон Маск и параллельно – основатели сетей фэнтези-спорта, питания, обслуживания, страхования. Он брался за безнадежные задачи и преодолевал немыслимые бюрократические барьеры.  Он побеждал тех, кто душил на корню идеи, дабы не менять существующих схем. Он действовал жестко и последовательно в интересах новых моделей бизнеса, меняющих мир. Он продолжает действовать в интересах людей, которые сами хотят решать свою судьбу и не зависеть от произвола закосневших институтов. Книга — источник информации и вдохновения для тех, кто стремится к переменам. И предупреждение тем, кто рассчитывает их не допустить."
Кеннеди Д.: Жесткий менеджмент: Заставьте людей работать на результат (новое издание),Предпринимательство,708 ₽,"Новое издание супербестселлера Дэна Кеннеди — как ледяной душ для руководителя, чей мозг затуманен политкорректностью и разными управленческими теориями."
"Марк Маргарет, Пирсон Кэрол: Герой и бунтарь. Как использовать архетипы на пользу бизнесу и творчеству",Маркетинг для немаркетологов,1 256 ₽,"«Ваш бренд никогда не будет успешен, если вы не найдете свой архетип». Так считают всемирно известный ученый Кэрол Пирсон и бизнес-консультант Маргарет Марк, которые ввели моду на популярные образы в маркетинге и брендинге и помогли многим компаниям обрести свой голос."
"Архангельский Г.А., Лукашенко М.А., Телегина Т.В.: Тайм-менеджмент. Полный курс: Учебное пособие",Альпина: саморазвитие,408 ₽,"О самом ценном и при этом невосполнимом нашем ресурсе — времени. В погоне за успехом мы часто словно пробегаем мимо жизни, даже не замечая ее. Умение управлять временем дает важное преимущество — становится легче найти возможность для творчества, которое дает пищу нашей душе."
Казанский Николай Владиславович: От ассистента до владельца бизнеса,Большой Бизнес,713 ₽,"Николай Казанский — бизнесмен, предприниматель, управляющий партнер компании Nikoliers, новатор."
Темплар Ричард: Правила управления людьми: Как раскрыть потенциал каждого сотрудника,Темплар Ричард,244 ₽,"Каждому из нас хочется быть душой компании. У таких людей как будто есть шестое чувство, которое подсказывает, чего на самом деле хотят окружающие, о чем они думают и что имеют в виду. Такие счастливчики безо всяких усилий заводят друзей и поднимают настроение всем вокруг."
"Горяев Т.: Шпаргалки для боссов. Жесткие и честные уроки управления, которые лучше выучить на чужом опыте",Горяев Т.,648 ₽,"«Шпаргалки для боссов» ? книга, основанная на российском, причем (что кажется совершенно невероятным) успешном предпринимательском опыте. Опыте масштабного производства продукта на до отказа забитом рынке страны. Опыте, успешность которого невозможно объяснить ни наличием газовой трубы в Новом Уренгое, ни покровительством властных структур."
"Поташев М.О., Ершов П.: Правила команды. Искусство думать вместе",Альпина. Саморазвитие,348 ₽,"Как и для чего создаются команды? Как команды развиваются, как их правильно обучать и мотивировать? Как распределяются роли в команде и каковы функции лидера? Авторы книги, Максим Поташев и Павел Ершов, опираясь на свой многолетний практический опыт управления командами как в бизнесе, так и в игре «Что? Где? Когда?», рассказывают, как превратить собранных вместе людей в настоящую команду и как сделать ее эффективной. Вы узнаете о жизненном цикле команды, компетенциях, функциональных ролях, командной культуре и вопросах лидерства."
"Ленсиони Патрик: Пять пороков команды: практика преодоления. Программа для лидеров, менеджеров и модераторов.",Патрик Ленсиони,800 ₽,"Патрик Ленсиони, автор бестселлера ""Пять пороков команды"", делится техниками и приемами, которые помогут превратить неэффективную команду в слаженную."
"Ашманов И.С.: Цифровая репутация. Создать, развить и защитить",Интернет-маркетинг,1 386 ₽,"Цифровая среда сейчас — неотъемлемая часть нашей жизни, она пожирает миллиарды часов рабочего и личного времени, возносит личности и бренды на пьедесталы и свергает оттуда, приводит клиентов, создаёт состояния, разрушает репутации и насчитывает десятки миллионов наших сограждан. Все уже осознают, что социальные медиа — это могучая сила, но мало кто понимает, каким законам она подчиняется и как ею управлять."
Петров Михаил Георгиевич: Трафик. Старт. Полное руководство по арбитражу трафика,Звезда нонфикшн,644 ₽,"Впервые в русскоязычном пространстве вся информация, необходимая для старта работы в арбитраже, собрана в одной книге. Прочитав её, вы увидите, как на этом рынке делаются серьёзные деньги, и поймёте, как вам действовать, чтобы быстро и эффективно стартовать."
"Бергер Йона: Как люди убеждают. Влияние слова в переговорах, беседах и спорах",Наука общения,752 ₽,"Слова — наш самый главный инструмент влияния, но все ли они одинаково хорошо помогают нам достичь своих целей?"
"Макдауэлл Г.Л., Баваро Д.: Карьера продакт-менеджера. Все что нужно знать для успешной работы в технологической компании",Библиотека программиста,2 929 ₽,Познакомьтесь с исчерпывающим руководством по профессии продакт-менеджера от авторов бестселлера «Карьера программиста»!
Ларсон Уилл: Элегантная головоломка. Системы инженерного менеджмента,Бизнес-мышление. Книги о  нестандартных подходах к решению бизнес-задач,1 150 ₽,"Расставлять людей по нужным местам, учить их самостоятельно принимать решения, брать ответственность за результат — во всем этом помогает инженерный менеджмент. Он словно набор элегантных, полезных и важных головоломок. А эта книга — сборник задач и их решений, который подскажет менеджерам, как наилучшим образом организовать работу сотрудников и привести компанию к успеху."
Томский А.: inDriver: От Якутска до Кремниевой долины. История создания глобальной технологической компании,Томский А.,588 ₽,"Это уникальная история компании inDriver — глобального конкурента Uber и «Яндекс.Такси». Начавшись в 2012 г. в глубине Сибири как группа в социальной сети, через несколько лет inDriver охватил сотни городов в десятках странах по всему миру и достиг оценки в сотни миллионов долларов."
"Сенаторов Артем Алексеевич: Цена вопроса. Думай, делай и зарабатывай по- новому",Артем Сенаторов,513 ₽,"Думаете, деньги ¬ – это тяжело, долго и опасно? Что заработать свой первый миллион невозможно? Долой вредные установки из уст окружающих. Если вы устали каждый день крутиться как белка в колесе, то книга «Цена вопроса» бизнес-эксперта Артема Сенаторова для вас. Артем рассказывает о том, как ему удалось выйти на доход миллион рублей в месяц и почему это не предел."
"Агекян А., Рудковская И.: Бизнес с сердцем вместо KPI: От потребления к созиданию",Просто о бизнесе,828 ₽,"Времена меняются, и мы меняемся вместе с ними - эта мудрость известна с давних времён. Авторы книги Айше Агекян и Ирина Рудковская - бизнес-консультанты с огромным опытом управления - предлагают задуматься, как на наших глазах меняются время, бизнес и человек. Наиболее дальновидные предприниматели понимают, что наступили новые времена, в которых бизнес-модели, отточенные опытом XX века, если пока и работают, то в долгосрочной перспективе обречены на поражение. Новое поколение клиентов требует перехода от потребительской к созидательной модели бизнеса. Что же такое созидательная модель? Чем и как она отличается от предыдущей - потребительской? Авторы объясняют это на конкретных примерах - легко узнаваемых и понятных. Также в книге приводится подробный рассказ о спирали индивидуальности - системе девяти витков, дающей понимание, какие этапы в жизни или в становлении уже пройдены, в какой точке сейчас находится человек или бизнес, и демонстрирующей перспективы развития. Эту спираль авторы последовательно применяют к бизнесу, к сотруднику и к клиенту и в результате получают новое системное бизнес-мышление."
Фрицше Томас: Кто владеет мячом? Как научить сотрудников держать «мяч» ответственности на своем «поле»,Томас Фрицше,600 ₽,"Томас Фрицше — дипломированный психиатр и тренер, основатель и владелец TOMplus, компании непрерывного образования, специализирующейся на прикладной психологии мозга и сердца. Более 20 лет успешно занимается обучением и коучингом менеджеров среднего и высшего звена, особенно в области лидерства и ведения переговоров."
"Батти Мария Валерьевна: Давай займемся карьерой. Чтобы работодатели тебя ценили, хотели, хвалили",Книги-драйверы,713 ₽,"Количество задач растет, а зарплата нет. Повысили коллегу-выскочку, а трудолюбивый тихоня десять лет в одной должности. Может, проблема в начальнике? Или в коллегах? Или в нехватке опыта?"
Сафронова К.(Кетт): Психология и бизнес по хардкору,Интернет-маркетинг,833 ₽,"Могут ли продажи быть этичными, а маркетинг - простым и нескучным?"
Алексей Марков: Криптвоюматика 4.1. Стань сыном маминой подруги,Алексей Марков,494 ₽,"Если вы давно хотели понять, как майнеры майнят крипту и с чем ее потом едят, то ""Криптвоюматика"" точно для вас."
"Синек Саймон: Начни с ""Зачем?"" Как выдающиеся лидеры вдохновляют действовать. 2-е издание",Саймон Синек,869 ₽,"Успешная компания начинается не с миллионных инвестиций, она начинается с вопроса «ЗАЧЕМ». Есть лидеры и компании, который пользуются популярностью и имеют определенный успех. А есть те, которые способны вдохновлять других и вести за собой. Последним удается это благодаря тому, что они знают, ЗАЧЕМ существуют. Они имеют высокие цели, бросают вызов обществу, они знают, ЗАЧЕМ делают свое дело. Узнай секреты лидерства и мотивации на примере таких компаний, как Apple, Southwest Airlines и др.!"
Ленсиони Патрик: Шесть гениев команды. Как способности каждого усиливают общий результат,Патрик Ленсиони,713 ₽,"Шесть типов таланта: модель, проверенная на практике"
Ленсиони Патрик: Мотив. Почему большинство руководителей избегают ответственности,Патрик Ленсиони,775 ₽,"«Возможно, вы работаете усердно, но точно ли делаете это ради компании?» — флагманский вопрос нового бизнес-романа Патрика Ленсиони."
Баршевский Григорий Абрамович: Хочешь выжить? Инвестируй! 65 шагов от нуля до профи,Григорий Баршевский,688 ₽,"Григорий Баршевский — кандидат экономических наук, имеет длительный опыт работы на финансовом рынке США."
Тао Тянь: Движущая сила организации. Как восточная философия бизнеса помогает компаниям преодолевать кризисы и процветать,Бизнес-Азия. Флагманские практики,960 ₽,Уникальный подход к устойчивому развитию бизнеса
"Батрименко А., Тарасова И., Русакова А.: Внутреннее предпринимательство. Как задействовать потенциал сотрудников для развития бизнеса. Практическое руководство",В помощь бизнесу,828 ₽,"Внутреннее предпринимательство — инструмент, позволяющий крупным компаниям развиваться и адаптироваться к условиям постоянно меняющегося мира. Предприимчивые сотрудники — недооцененный бизнес-актив, способный создавать новые продукты, тестировать передовые бизнес-модели или внедрять инновации."
"Стрелеки Джон: Большая пятерка для жизни. Две истории о том, как реализовать свое предназначение в бизнесе (подарочное издание)",Джон Стрелеки,756 ₽,Книги автора проданы суммарным тиражом в России более 500 000 экземпляров!
Зотов В.: Как построить карьеру руководителя. Золотые секреты министра,Вершина успеха,670 ₽,"Автор книги, проработавший около 25 лет в ранге министра Правительства г. Москвы - префектом ЮВАО, в популярной форме раскрывает секреты успешной карьеры руководителя и рассказывает о собственном опыте, весьма интересном и поучительном. Под его началом выросли более 140 руководителей самого высокого ранга."
Шефф Дэвид: Game Over. Как Nintendo завоевала мир,Шефф Дэвид,1 459 ₽,"""Game Over. Как Nintendo завоевала мир""
.125 лет назад в древней японской столице Киото появилась компания Nintendo. В конце семидесятых компания совершила головокружительный прорыв в область высоких технологий, и, создав классическую видеоигровую консоль Famicom/NES, навсегда изменила досуг многих миллионов людей в мире. В знаменитой книге авторитетного американского публициста Дэвида Шеффа увлекательно и подробно рассказывается о длинной истории Nintendo, о создании консолей и игр для них, о бизнесе и о том, как происходило формирование видеоигровой индустрии.
.2-е издание."
Пинтосевич Ицхак: Действуй! 10 заповедей успеха (дополненное издание),Ицхак Пинтосевич,775 ₽,"Действуй! 10 заповедей успеха — ваш ключ к позитивным переменам в жизни. Успех неизбежен для тех, кто выполнит все заповеди: возьмет ответственность на себя, подчинит страх, поставит цель, составит план, начнет действовать и совершенствоваться. Включите каждую из предложенных заповедей в свою рутину, и это поможет укрепить самооценку, найти путь к себе и жизни своей мечты. Книга построена на основе последних открытий в области психологии, менеджмента и лучших практик личностного роста. Создай своими руками тот мир, в котором ты хочешь оказаться!"
"Ерохин Александр Альбертович, Климов Андрей Валерьевич: Управление клиентской базой. Как настроить работу клиентского отдела и получить максимальный результат",Александр Ерохин,1 200 ₽,"Александр Ерохин — бизнес-эксперт, предприниматель, тренер, автор, управляющий партнер консалтинговой компании Salecraft. Опыт построения отделов продаж в 47 отраслях и 134 нишах рынка. Более 24 лет практики в управлении продажами."
